,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
193,США,Самолетный тип,223,Нет данных,3200,4050,Пусковая установка,Парашютная система,Газотурбинный,1.76,927,Снято с производства,Northrop Grumman,Нет данных,Нет данных,Нет данных,,
194,США,Самолетный тип,14628,36,16100,19800,Шасси,Шасси,Газотурбинный,40,630,В производстве,Northrop Grumman,,,,,
195,США,Вертолетный тип,,6,177,6096,Вертикальный,Вертикальный,ДВС,,205,В производстве,Northrop Grumman,,,,8.38,
196,Канада,Коптерный тип,1.7,0.42,3,350,Вертикальный,Вертикальный,Электрический,,50,Снято с производства,Aeryon Labs,1.7,GPS,−30°C.. +50°C,,
197,Канада,Самолетный тип,156,,70,3050,Пусковая установка,Парашютная система,Газотурбинный,0.94,741,Снято с производства,Bombardier,20,,,,
198,Канада,Вертолетный тип,227,3.5,60,3000,Вертикальный,Вертикальный,Газотурбинный,,142,Снято с производства,Bombardier,45,Нет данных,Нет данных,2.8,
199,Канада,Самолетный тип,210,0.5,70,3000,Пусковая установка,Парашютная система,Газотурбинный,1.32,720,Снято с производства,Bombardier,120,Нет данных,Нет данных,,
200,Канада,Вертолетный тип,350,6.15,200,5500,Вертикальный,Вертикальный,Газотурбинный,,157,Снято с производства,Bombardier,100,GPS,,4,
201,Канада,Самолетный тип,635,19,300,5500,Шасси,Шасси,ДВС,,61,В производстве,Mist Mobility Integrated Systems Technology,34,GPS,,,
202,Россия,Самолетный тип,1100,50,300,8000,Пусковая установка,Парашютная система,ДВС,9,450,В производстве,Антиград-Авиа,500,,,,
203,Россия,Самолетный тип,0.25,0.6,1.5,500,Пусковая установка,Парашютная система,Электрический,0.3,72,Снято с производства,Аэрокон,0,"GPS, ГЛОНАСС",−30°C.. +50°C,,
204,Россия,Самолетный тип,1.3,1,45,500,С руки,Парашютная система,Электрический,"0,8",150,Снято с производства,Аэрокон,0.15,"GPS, ГЛОНАСС",−30°C.. +50°C,,
205,Россия,Самолетный тип,6.5,2,200,4000,Пусковая установка,Парашютная система,Электрический,1.5,150,В производстве,Аэрокон,1,,,,
206,Россия,Самолетный тип,500,12,500,6000,Шасси,Шасси,ДВС,8.07,250,Снято с производства,"Концерн ""Вега""",100,,,,
207,Россия,Самолетный тип,20,3,70,3000,Пусковая установка,Шасси,ДВС,2.5,160,Снято с производства,Новик-XXI век,3,,,,
208,Россия,Самолетный тип,38,10,1200,4000,Шасси,Шасси,ДВС,4.4,150,В производстве,Транзас,,"GPS, ГЛОНАСС",,,
209,Россия,Самолетный тип,640,24,900,7500,Шасси,Шасси,ДВС,12,210,В разработке,Транзас,,"GPS, ГЛОНАСС",,,
210,Россия,Самолетный тип,85,8,900,4000,Шасси,Шасси,ДВС,4.60,150,Снято с производства,Транзас,,"GPS, ГЛОНАСС",,,
211,Россия,Самолетный тип,95,10,1200,4500,Шасси,Шасси,ДВС,5.40,150,В производстве,Транзас,32,,,,
212,Россия,Самолетный тип,3,1.5,20,3000,Пусковая установка,Парашютная система,ДВС,1.47,105,Снято с производства,Иркут,"0,3","GPS, ГЛОНАСС",–40°С..+50°С,,
213,Россия,Самолетный тип,3,1.25,15,3000,С руки,Парашютная система,ДВС,2,90,В производстве,Иркут,"0,5","GPS, ГЛОНАСС",−30°C.. +50°C,,
214,Россия,Самолетный тип,8,2,70,3000,Пусковая установка,Парашютная система,ДВС,2,120,В производстве,Иркут,"1,5","GPS, ГЛОНАСС",,,
215,Россия,Самолетный тип,200,12,200,5000,Шасси,Шасси,ДВС,5.34,210,В разработке,Иркут,50,,,,
216,Россия,Самолетный тип,860,12,200,9000,Шасси,Шасси,ДВС,23,270,Снято с производства,Иркут,200,,,,
217,Россия,Самолетный тип,70,1,60,4000,Шасси,Парашютная система,Электрический,,200,Снято с производства,Истра,12,,,,
218,США,Вертолетный тип,2721,14,2272,6000,Вертикальный,Вертикальный,Газотурбинный,,205,В производстве,Northrop Grumman,,,,8.4,
219,ОАЭ,Самолетный тип,75,0.5,,,Пусковая установка,Парашютная система,ДВС,2,180,Снято с производства,Remote Piloted Systems,,,,,
220,ОАЭ,Самолетный тип,1500,120,1000,9000,Шасси,Шасси,ДВС,20,220,В производстве,Adcom Military Industries Yabhon,,,,,
221,ЮАР,Самолетный тип,40,4,60,5000,Пусковая установка,Парашютная система,ДВС,3.4,180,В производстве,Advanced Technologies and Engineering,35,Нет данных,Нет данных,,
222,ЮАР,Самолетный тип,27,,,6000,Шасси,Шасси,ДВС,7,220,В производстве,Denel,50,GPS,–15°С..+50°С,,
223,Израиль,Самолетный тип,40,4,150,3100,Шасси,Шасси,ДВС,4,185,В производстве,Aeronautics Defense Systems,8,,,,
224,Израиль,Самолетный тип,70,5,150,3050,Шасси,Шасси,ДВС,"4,5",185,В разработке,Aeronautics Defense Systems,18,,,,
225,Израиль,Самолетный тип,200,12,200,5486,Шасси,Шасси,ДВС,"6,5",80,В производстве,Aeronautics Defense Systems,50,,,,
226,"Азербайджан, Израиль",Самолетный тип,6.5,7,150,5840,Пусковая установка,Парашютная система,Электрический,2.2,130,В производстве,Aeronautics Defense Systems,1.5,,,,
